0.233, -6.762e-6
0.234, -6.761e-6
0.235, -6.755e-6
0.236, -6.752e-6
0.237, -6.741e-6
0.238, -6.735e-6
0.239, -6.724e-6
0.240, -6.709e-6
0.241, -6.698e-6
0.242, -6.684e-6
0.243, -6.665e-6
0.244, -6.650e-6
0.245, -6.630e-6
0.246, -6.609e-6
0.247, -6.590e-6
0.248, -6.567e-6
0.249, -6.544e-6
0.250, -6.523e-6
0.251, -6.495e-6
0.252, -6.473e-6
0.253, -6.444e-6
0.254, -6.419e-6
0.255, -6.393e-6
0.256, -6.364e-6
0.257, -6.336e-6
0.258, -6.309e-6
0.259, -6.278e-6
0.260, -6.249e-6
0.261, -6.219e-6
0.262, -6.188e-6
0.263, -6.160e-6
0.264, -6.129e-6
0.265, -6.099e-6
0.266, -6.068e-6
0.267, -6.036e-6
0.268, -6.007e-6
0.269, -5.975e-6
0.270, -5.943e-6
0.271, -5.915e-6
0.272, -5.882e-6
0.273, -5.852e-6
0.274, -5.822e-6
0.275, -5.790e-6
0.276, -5.762e-6
0.277, -5.730e-6
0.278, -5.700e-6
0.279, -5.671e-6
0.280, -5.640e-6
0.281, -5.611e-6
0.282, -5.582e-6
0.283, -5.553e-6
0.284, -5.525e-6
0.285, -5.494e-6
0.286, -5.467e-6
0.287, -5.440e-6
0.288, -5.411e-6
0.289, -5.383e-6
0.290, -5.356e-6
0.291, -5.329e-6
0.292, -5.303e-6
0.293, -5.276e-6
0.294, -5.249e-6
0.295, -5.225e-6
0.296, -5.197e-6
0.297, -5.173e-6
0.298, -5.148e-6
0.299, -5.123e-6
0.300, -5.099e-6
0.301, -5.075e-6
0.302, -5.051e-6
0.303, -5.028e-6
0.304, -5.003e-6
0.305, -4.981e-6
0.306, -4.959e-6
0.307, -4.937e-6
0.308, -4.914e-6
0.309, -4.892e-6
0.310, -4.870e-6
0.311, -4.850e-6
0.312, -4.828e-6
0.313, -4.807e-6
0.314, -4.788e-6
0.315, -4.767e-6
0.316, -4.747e-6
0.317, -4.727e-6
0.318, -4.707e-6
0.319, -4.690e-6
0.320, -4.668e-6
0.321, -4.651e-6
0.322, -4.633e-6
0.323, -4.614e-6
0.324, -4.597e-6
0.325, -4.579e-6
0.326, -4.561e-6
0.327, -4.545e-6
0.328, -4.526e-6
0.329, -4.510e-6
0.330, -4.494e-6
0.331, -4.477e-6
0.332, -4.462e-6
0.333, -4.445e-6
0.334, -4.430e-6
0.335, -4.414e-6
0.336, -4.398e-6
0.337, -4.383e-6
0.338, -4.369e-6
0.339, -4.353e-6
0.340, -4.340e-6
0.341, -4.325e-6
0.342, -4.310e-6
0.343, -4.297e-6
0.344, -4.282e-6
0.345, -4.269e-6
0.346, -4.256e-6
0.347, -4.242e-6
0.348, -4.230e-6
0.349, -4.215e-6
0.350, -4.203e-6
0.351, -4.190e-6
0.352, -4.178e-6
0.353, -4.165e-6
0.354, -4.153e-6
0.355, -4.140e-6
0.356, -4.129e-6
0.357, -4.117e-6
0.358, -4.105e-6
0.359, -4.095e-6
0.360, -4.082e-6
0.361, -4.070e-6
0.362, -4.061e-6
0.363, -4.048e-6
0.364, -4.039e-6
0.365, -4.027e-6
0.366, -4.016e-6
0.367, -4.007e-6
0.368, -3.996e-6
0.369, -3.985e-6
0.370, -3.976e-6
0.371, -3.965e-6
0.372, -3.956e-6
0.373, -3.945e-6
0.374, -3.937e-6
0.375, -3.927e-6
0.376, -3.917e-6
0.377, -3.908e-6
0.378, -3.899e-6
0.379, -3.889e-6
0.380, -3.881e-6
0.381, -3.871e-6
0.382, -3.863e-6
0.383, -3.855e-6
0.384, -3.845e-6
0.385, -3.837e-6
0.386, -3.830e-6
0.387, -3.820e-6
0.388, -3.813e-6
0.389, -3.805e-6
0.390, -3.796e-6
0.391, -3.789e-6
0.392, -3.781e-6
0.393, -3.774e-6
0.394, -3.766e-6
0.395, -3.758e-6
0.396, -3.752e-6
0.397, -3.743e-6
0.398, -3.737e-6
0.399, -3.730e-6
0.400, -3.722e-6
0.401, -3.716e-6
0.402, -3.710e-6
0.403, -3.702e-6
0.404, -3.696e-6
0.405, -3.689e-6
0.406, -3.683e-6
0.407, -3.678e-6
0.408, -3.670e-6
0.409, -3.669e-6
0.410, -3.661e-6
0.411, -3.653e-6
0.412, -3.648e-6
0.413, -3.642e-6
0.414, -3.636e-6
0.415, -3.631e-6
0.416, -3.624e-6
0.417, -3.620e-6
0.418, -3.615e-6
0.419, -3.608e-6
0.420, -3.605e-6
0.421, -3.599e-6
0.422, -3.593e-6
0.423, -3.591e-6
0.424, -3.585e-6
0.425, -3.579e-6
0.426, -3.577e-6
